t_utc,t_unix,t_sclk,t_tid,tid,orbit,focusmode,alt,mass,species,density_bins,quality
2015-02-11T21:57:46,1423691865.959181,476963843.846251,4956.353335,14934,717,csn,2.832942e+02,40,Ar,6.900000,IU
2015-02-11T21:57:42,1423691861.959221,476963839.845854,4952.353335,14934,717,csn,2.859474e+02,40,Ar,7.000000,IU
2015-02-11T21:57:38,1423691857.958359,476963835.845456,4948.353335,14934,717,csn,2.892948e+02,40,Ar,7.100000,IU
2015-02-11T21:57:32,1423691851.958330,476963829.844860,4942.353335,14934,717,csn,2.988741e+02,40,Ar,7.200000,IU
2015-02-11T21:57:28,1423691847.957597,476963825.844463,4938.353335,14934,717,csn,3.000502e+02,40,Ar,7.300000,IU
2015-02-11T21:57:08,1423691827.955277,476963805.842474,4918.353335,14934,717,csn,3.086372e+02,40,Ar,7.400000,IU
2015-02-11T21:57:06,1423691825.955245,476963803.842276,4916.353335,14934,717,csn,3.100577e+02,40,Ar,7.500000,IU
2015-02-11T21:57:04,1423691823.955294,476963801.842077,4914.353335,14934,717,csn,3.121987e+02,40,Ar,7.600000,IU
2015-02-11T21:57:00,1423691819.955316,476963797.841679,4910.353335,14934,717,csn,3.143500e+02,40,Ar,7.700000,IU
2015-02-11T21:56:58,1423691817.954571,476963795.841481,4908.353335,14934,717,csn,3.157909e+02,40,Ar,7.800000,IU
2015-02-11T21:56:56,1423691815.954165,476963793.841282,4906.353335,14934,717,csn,3.179625e+02,40,Ar,7.900000,IU
2015-02-11T21:56:52,1423691811.954351,476963789.840885,4902.353335,14934,717,csn,3.201442e+02,40,Ar,8.000000,IU
2015-02-11T21:56:50,1423691809.953621,476963787.840686,4900.353335,14934,717,csn,3.230733e+02,40,Ar,8.000000,IU
2015-02-11T21:56:44,1423691803.953294,476963781.840089,4894.353335,14934,717,csn,3.275020e+02,40,Ar,7.900000,IU
2015-02-11T21:56:38,1423691797.952273,476963775.839493,4888.353335,14934,717,csn,3.312259e+02,40,Ar,7.800000,IU
2015-02-11T21:56:34,1423691793.952309,476963771.839095,4884.353335,14934,717,csn,3.465717e+02,40,Ar,7.700000,IV
2015-02-11T21:56:28,1423691787.951537,476963765.838499,4878.353335,14934,717,csn,3.472605e+02,40,Ar,7.600000,IV
2015-02-11T21:56:16,1423691775.950333,476963753.837306,4866.353335,14934,717,csn,3.547445e+02,40,Ar,7.500000,IV
2015-02-11T21:55:52,1423691751.948324,476963729.834920,4842.353335,14934,717,csn,3.661251e+02,40,Ar,7.400000,IV
2015-02-11T21:55:50,1423691749.947547,476963727.834722,4840.353335,14934,717,csn,3.685386e+02,40,Ar,7.300000,IV
2015-02-11T21:55:46,1423691745.947353,476963723.834325,4836.353335,14934,717,csn,3.717722e+02,40,Ar,7.200000,IV
2015-02-11T21:55:42,1423691741.947442,476963719.833927,4832.353335,14934,717,csn,3.774801e+02,40,Ar,7.100000,IV
2015-02-11T21:55:32,1423691731.946425,476963709.832933,4822.353335,14934,717,csn,3.848952e+02,40,Ar,7.000000,IV
