PDS_VERSION_ID               = PDS3
RECORD_TYPE                  = STREAM


OBJECT                       = TEXT
  INTERCHANGE_FORMAT         = ASCII
  PUBLICATION_DATE           = 2026-03-17
  NOTE                       = "List of data related events altering REMS 
                               regular acquisition cadence"
END_OBJECT                   = TEXT
END

The following table contains a list of dates and times with events
that may have an impact in the REMS regular acquisition cadence of 5
minutes every hour (due to reasons such as rover maintenance, REMS
powered off to not to conflict with other activities, tests, etc).

As part of those events, this table also shows the sols in which REMS
sensor underwent the following maintenance activities: GTS
calibration, HS regeneration, HS defrosting and PS calibration.

This table also reflects Humidity Sensor on/off tests and the beginning
of nominal use of the HS HRIM measurement strategy (for which the
tests were performed). Refer to catalogs for an explanation of this
strategy.

|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|  526 |                                        | X   |       |         |     |
|  527 |                                        | X   | X     |         |     |
|  528 |                                        | X   |       |         |     |
|  530 |                                        | X   |       |         |     |
|  531 |                                        | X   |       |         |     |
|  532 |                                        | X   |       |         |     |
|  538 |                                        |     | X     |         |     |
|  548 |                                        |     | X     |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
|  559 |                                        |     | X     |         |     |
|  569 | No activity from 04:00:00              |     | X     |         |     |
|      | to 04:02:45                            |     |       |         |     |
|  570 | No activity from 02:01:28-02:05:28,    |     |       |         |     |
|      | 03:01:26-03:05:00 and                  |     |       |         |     |
|      | 04:01:27-04:05:00                      |     |       |         |     |
|  573 |                                        | X   |       |         |     |
|  574 |                                        | X   |       |         |     |
|  575 |                                        | X   |       |         |     |
|  578 |                                        | X   |       |         |     |
|  579 |                                        | X   |       |         |     |
|  580 |                                        | X   | X     |         |     |
|  581 |                                        | X   |       |         |     |
|  582 |                                        | X   |       |         |     |
|  583 |                                        |     |       |         | X   |
|  584 |                                        | X   |       |         | X   |
|  585 |                                        | X   |       |         |     |
|  590 |                                        |     | X     |         |     |
|  598 | No data at 06:00, 07:00                |     |       |         |     |
|  600 | No data at 02:00, 03:00-23:00          |     |       |         |     |
|  601 | No data at 00:00-11:00                 |     |       |         |     |
|  602 |                                        |     | X     |         |     |
|  615 |                                        | X   |       |         |     |
|  616 |                                        |     | X     |         |     |
|  618 |                                        | X   |       |         |     |
|  621 |                                        | X   |       |         |     |
|  622 |                                        | X   |       |         |     |
|  626 |                                        | X   | X     |         |     |
|  627 |                                        | X   |       |         |     |
|  628 |                                        | X   |       |         |     |
|  629 |                                        | X   |       |         |     |
|  630 |                                        |     |       |         |     |
