PDS_VERSION_ID               = PDS3
RECORD_TYPE                  = STREAM


OBJECT                       = TEXT
  INTERCHANGE_FORMAT         = ASCII
  PUBLICATION_DATE           = 2026-03-17
  NOTE                       = "List of data related events altering REMS 
                               regular acquisition cadence"
END_OBJECT                   = TEXT
END

The following table contains a list of dates and times with events
that may have an impact in the REMS regular acquisition cadence of 5
minutes every hour (due to reasons such as rover maintenance, REMS
powered off to not to conflict with other activities, tests, etc).

As part of those events, this table also shows the sols in which REMS
sensor underwent the following maintenance activities: GTS
calibration, HS regeneration, HS defrosting and PS calibration.

This table also reflects Humidity Sensor on/off tests and the beginning
of nominal use of the HS HRIM measurement strategy (for which the
tests were performed). Refer to catalogs for an explanation of this
strategy.

|  Sol | Event                                  | GTS | HS    | HS      | PS  |
| 2808 | No activity                            |     |       |         |     |
| 2809 | No activity                            |     |       |         |     |
| 2810 | No activity from 00:00 to 14:24        |     |       |         |     |
| 2812 |                                        |     | X     |         |     |
| 2814 | No activity from 06:35 to 23:59        |     |       |         |     |
| 2815 | No activity                            |     |       |         |     |
| 2816 | No activity from 00:00 to 13:15        |     |       |         |     |
| 2823 |                                        |     | X     |         |     |
| 2836 |                                        | X   |       |         |     |
| 2837 |                                        |     |       |         |     |
| 2838 |                                        |     |       |         |     |
| 2839 |                                        | X   |       |         | X   |
| 2840 |                                        |     |       |         | X   |
| 2841 |                                        | X   |       |         |     |
| 2842 |                                        | X   |       |         |     |
| 2843 |                                        | X   |       |         |     |
| 2849 |                                        |     | X     |         |     |
| 2861 |                                        |     | X     |         |     |
| 2871 |                                        |     | X     |         |     |
| 2878 |                                        | X   |       |         |     |
| 2879 | Wind Sensor ON temporarily             | X   |       |         |     |
| 2881 |                                        | X   | X     |         |     |
| 2882 |                                        | X   |       |         |     |
| 2883 | Reached 100% memory at 01:xx           | X   |       |         |     |
| 2884 |                                        | X   |       |         |     |
| 2885 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 2887 |                                        | X   |       |         |     |
| 2888 |                                        | X   |       |         |     |
| 2889 |                                        | X   | X     |         |     |
| 2909 |                                        |     | X     |         |     |
| 2922 |                                        |     | X     |         |     |
| 2929 |                                        | X   |       |         |     |
| 2930 |                                        | X   |       |         |     |
| 2931 |                                        | X   |       |         |     |
| 2932 |                                        | X   |       |         |     |
| 2933 |                                        | X   |       |         |     |
| 2934 |                                        |     | X     |         |     |
| 2935 |                                        | X   |       |         | X   |
| 2936 |                                        | X   |       |         | X   |
| 2937 |                                        | X   |       |         |     |
| 2938 |                                        | X   |       |         |     |
| 2939 |                                        | X   |       |         |     |
| 2946 |                                        |     | X     |         |     |
| 2955 | Reached 100% memory at 19:xx           |     | X     |         |     |
| 2963 | No activity from 08:42 to 11:50        |     |       |         |     |
| 2965 | No activity since 08:48                |     |       |         |     |
| 2966 | No activity                            |     |       |         |     |
| 2967 | No activity up to 10:30                |     |       |         |     |
| 2975 |                                        |     | X     |         |     |
| 2979 |                                        | X   |       |         |     |
| 2980 |                                        | X   |       |         |     |
| 2981 |                                        | X   |       |         |     |
| 2983 |                                        | X   |       |         |     |
| 2984 |                                        | X   |       |         |     |
| 2985 |                                        | X   | X     |         |     |
| 2987 |                                        | X   |       |         |     |
| 2989 |                                        | X   |       |         |     |
| 2990 |                                        | X   |       |         |     |
| 2991 |                                        | X   |       |         |     |
| 2995 |                                        |     | X     |         |     |
| 3005 |                                        |     | X     |         |     |
| 3015 |                                        |     | X     |         |     |
| 3025 |                                        | X   | X     |         |     |
| 3026 |                                        | X   |       |         |     |
| 3027 |                                        | X   |       |         |     |
| 3029 |                                        | X   |       |         |     |
| 3031 |                                        | X   |       |         |     |
| 3032 |                                        | X   |       |         |     |
| 3033 |                                        | X   |       |         |     |
| 3034 |                                        | X   |       |         |     |
| 3035 |                                        | X   | X     |         |     |
| 3052 |                                        |     | X     |         |     |
| 3060 | Reached 100% memory at 00:xx           |     |       |         |     |
|      | No data 00:00-01:05, 17:05-04:05       |     |       |         |     |
| 3061 |                                        |     | X     |         |     |
| 3068 | No data 14:00-16:05                    |     |       |         |     |
| 3069 |                                        | X   |       |         |     |
| 3070 |                                        | X   |       |         |     |
| 3071 |                                        | X   |       |         |     |
| 3072 |                                        |     | X     |         |     |
| 3073 |                                        | X   |       |         |     |
| 3074 |                                        | X   |       |         |     |
| 3076 |                                        |     |       |         | X   |
| 3077 |                                        | X   |       |         | X   |
| 3079 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 3081 |                                        | X   |       |         |     |
| 3082 |                                        | X   | X     |         |     |
| 3083 |                                        | X   |       |         |     |
| 3093 |                                        |     | X     |         |     |
| 3103 |                                        |     | X     |         |     |
| 3114 |                                        |     | X     |         |     |
| 3118 |                                        | X   |       |         |     |
| 3121 |                                        | X   |       |         |     |
| 3123 |                                        | X   |       |         |     |
| 3124 |                                        | X   | X     |         |     |
| 3125 |                                        | X   |       |         |     |
| 3128 |                                        | X   |       |         |     |
| 3129 |                                        | X   |       |         |     |
| 3130 |                                        | X   |       |         |     |
| 3133 |                                        | X   |       |         |     |
| 3131 |                                        | X   |       |         |     |
| 3135 |                                        |     | X     |         |     |
| 3145 |                                        |     | X     |         |     |
| 3164 |                                        | X   |       |         |     |
| 3166 |                                        | X   |       |         |     |
| 3167 |                                        | X   |       |         |     |
| 3169 |                                        | X   |       |         |     |
| 3172 |                                        | X   |       |         |     |
| 3175 |                                        | X   |       |         |     |
| 3176 |                                        | X   |       |         |     |
| 3177 |                                        | X   |       |         |     |
| 3178 |                                        | X   |       |         |     |
| 3179 |                                        | X   |       |         |     |
| 3183 |                                        |     | X     |         |     |
| 3185 | Reached 100% memory at 11:xx. Session  |     |       |         |     |
|      | losts 14:00-22:05.                     |     |       |         |     |
| 3192 |                                        |     |       |         | X   |
| 3193 |                                        |     |       |         | X   |
| 3195 |                                        |     | X     |         |     |
| 3204 |                                        |     | X     |         |     |
| 3212 |                                        | X   |       |         |     |
| 3213 |                                        | X   |       |         |     |
| 3214 |                                        | X   | X     |         |     |
| 3219 |                                        | X   |       |         |     |
| 3221 |                                        | X   |       |         |     |
| 3223 |                                        | X   |       |         |     |
| 3224 |                                        | X   |       |         |     |
| 3225 |                                        | X   |       |         |     |
| 3226 | Reached 100% memory at 23:xx. No data  | X   |       |         |     |
|      | ~23:20-23:59                           |     |       |         |     |
| 3227 | No data 00:00-23:59                    | X   |       |         |     |
| 3228 | No data 00:00-12:00                    |     |       |         |     |
| 3237 | Reached 100% memory at 17. No data     |     |       |         |     |
|      | 18:00-23:59                            |     |       |         |     |
| 3238 | No data 00:00-12:00                    |     | X     |         |     |
| 3249 |                                        |     | X     |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 3254 | Solar Conjunction                      |     |       |         |     |
| 3255 | Solar Conjunction                      |     |       |         |     |
| 3256 | Solar Conjunction                      |     | X     |         |     |
| 3257 | Solar Conjunction                      |     |       |         |     |
| 3258 | Solar Conjunction                      |     |       |         |     |
| 3259 | Solar Conjunction                      |     |       |         |     |
| 3260 | Solar Conjunction                      | X   |       |         |     |
| 3261 | Solar Conjunction                      | X   |       |         |     |
| 3262 | Solar Conjunction                      | X   |       |         |     |
| 3263 | Solar Conjunction                      |     |       |         |     |
| 3264 | Solar Conjunction                      |     |       |         |     |
| 3265 | Solar Conjunction                      | X   |       |         |     |
| 3266 | Solar Conjunction                      | X   |       |         |     |
| 3267 | Solar Conjunction                      | X   | X     |         |     |
| 3268 | Solar Conjunction                      | X   |       |         |     |
| 3269 | Solar Conjunction                      |     |       |         |     |
| 3270 | Solar Conjunction                      |     |       |         |     |
| 3271 | Solar Conjunction                      |     |       |         |     |
| 3272 |                                        | X   |       |         |     |
| 3273 |                                        | X   |       |         |     |
| 3287 | Reached 100% memory at 07:xx. No data  |     |       |         |     |
|      | 07:00-10:00                            |     |       |         |     |
| 3289 |                                        |     |       |         | X   |
| 3290 |                                        |     |       |         | X   |
| 3294 | Reached 100% memory at 2395M02:xx. No  |     |       |         |     |
|      | data 10:00-11:05, 02:00-04:05          |     |       |         |     |
| 3303 |                                        | X   |       |         |     |
| 3304 |                                        | X   |       |         |     |
| 3305 |                                        | X   |       |         |     |
| 3306 | Reached 100% memory at 22:xx. No data  |     |       |         |     |
|      | 3306M18:00 - 3307M09:05                |     |       |         |     |
| 3307 |                                        | X   |       |         |     |
| 3308 |                                        | X   |       |         |     |
| 3309 |                                        | X   |       |         |     |
| 3310 |                                        | X   |       |         |     |
| 3311 |                                        | X   |       |         |     |
| 3313 |                                        | X   |       |         |     |
| 3314 |                                        | X   |       |         |     |
| 3353 |                                        | X   |       |         |     |
| 3356 |                                        | X   |       |         |     |
| 3357 |                                        | X   |       |         |     |
| 3361 |                                        | X   |       |         |     |
| 3362 |                                        | X   |       |         |     |
| 3363 |                                        | X   |       |         |     |
| 3364 |                                        | X   |       |         |     |
| 3365 |                                        | X   |       |         |     |
| 3367 |                                        |     | X     |         |     |
| 3368 |                                        | X   |       |         |     |
| 3369 |                                        | X   |       |         |     |
| 3399 |                                        | X   |       |         |     |
| 3404 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 3405 |                                        | X   |       |         |     |
| 3409 | Reached 100% memory at 01:43. No data  | X   |       |         |     |
|      | 1:43-10:05                             |     |       |         |     |
| 3413 |                                        | X   |       |         |     |
| 3418 |                                        | X   |       |         |     |
| 3419 |                                        | X   |       |         |     |
| 3422 |                                        | X   |       |         |     |
| 3424 |                                        | X   |       |         |     |
| 3428 |                                        | X   |       |         |     |
| 3429 |                                        | X   |       |         |     |
| 3430 | Missing data between 10:00-10:20 due   |     |       |         |     |
|      | to memory full                         |     |       |         |     |
| 3431 | Reached 100% memory at 09:02. Missing  |     |       |         |     |
|      | data between 09:02-00:00               |     |       |         |     |
| 3432 | Missing data between 00:00-16:00       |     |       |         | X   |
| 3433 |                                        |     |       |         | X   |
| 3441 | No data between 06:00-18:00            |     |       |         |     |
| 3446 | Missing session 10:00. Reached 100%    |     |       |         |     |
|      | memory at 23:01                        |     |       |         |     |
| 3447 | Missing data from 00:00-11:00          |     |       |         |     |
| 3458 | No data between 16:00-21:00 due        |     |       |         |     |
|      | to data transfer glitch                |     |       |         |     |
| 3459 |                                        | X   |       |         |     |
| 3461 |                                        | X   |       |         |     |
| 3460 |                                        | X   |       |         |     |
| 3465 |                                        | X   |       |         |     |
| 3466 |                                        | X   |       |         |     |
| 3467 |                                        | X   |       |         |     |
| 3470 |                                        | X   |       |         |     |
| 3471 |                                        | X   |       |         |     |
| 3472 | Missing data between 18:09-00:00 due   |     |       |         |     |
|      | to data transfer glitch                |     |       |         |     |
| 3473 | Missing data between 00:00-04:00       |     |       |         |     |
| 3475 |                                        | X   |       |         |     |
| 3476 |                                        | X   |       |         |     |
| 3492 | Missing data between 10:20-13:00 due   |     |       |         |     |
|      | to data transfer glitch                |     |       |         |     |
| 3496 | No activity between 03:00-00:00        |     |       |         |     |
| 3497 | No activity                            |     |       |         |     |
| 3498 | No activity                            |     |       |         |     |
| 3499 | No activity                            |     |       |         |     |
| 3500 | No activity                            |     |       |         |     |
| 3501 | No activity                            |     |       |         |     |
| 3502 | No activity                            |     |       |         |     |
| 3503 | No activity between 00:00-12:00        |     |       |         |     |
| 3512 |                                        | X   |       |         |     |
| 3513 |                                        | X   |       |         |     |
| 3521 | No data between 17:00-00:00 due to     |     |       |         |     |
|      | transfer glitch                        |     |       |         |     |
| 3522 | No data between 00:00-04:00            |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 3525 |                                        | X   |       |         |     |
| 3526 |                                        | X   |       |         |     |
| 3527 |                                        | X   |       |         |     |
| 3529 |                                        | X   |       |         |     |
| 3535 |                                        | X   |       |         |     |
| 3536 |                                        | X   |       |         |     |
| 3537 |                                        | X   |       |         |     |
| 3538 | Missing data between 04:00-05:04 due   |     |       |         |     |
|      | to memory full.                        |     |       |         |     |
| 3539 | Reached 100% memory at 18:47. Missing  |     |       |         |     |
|      | data between 18:47-00:00               |     |       |         |     |
| 3540 | Missing data between 00:00-17:00       |     |       |         |     |
| 3546 |                                        |     | X     |         |     |
| 3571 |                                        | X   |       |         |     |
| 3572 |                                        | X   |       |         |     |
| 3573 | Reached 100% memory at 07:47. Missing  |     |       |         |     |
|      | data between 07:47-11:00               |     |       |         |     |
| 3574 |                                        | X   |       |         | X   |
| 3578 |                                        | X   |       |         |     |
| 3579 |                                        | X   |       |         |     |
| 3580 |                                        | X   |       |         |     |
| 3581 |                                        | X   |       |         |     |
| 3583 | No activity 19:20-23:59                |     |       |         |     |
| 3584 | No activity                            |     |       |         |     |
| 3585 | No activity                            |     |       |         |     |
| 3586 | No activity                            |     |       |         |     |
| 3587 | No activity                            |     |       |         |     |
| 3588 | No activity                            |     |       |         |     |
| 3589 | No activity 00:00-11:22                |     |       |         |     |
| 3641 |                                        |     |       |         | X   |
| 3642 |                                        |     |       |         | X   |
| 3680 |                                        | X   |       |         |     |
| 3681 |                                        | X   |       |         |     |
| 3682 |                                        | X   |       |         |     |
| 3685 |                                        | X   |       |         |     |
| 3686 |                                        | X   |       |         |     |
| 3688 |                                        | X   |       |         |     |
| 3689 |                                        | X   |       |         |     |
| 3691 |                                        | X   |       |         |     |
| 3692 |                                        | X   |       |         |     |
| 3694 |                                        | X   |       |         |     |
| 3726 |                                        |     | X     |         |     |
| 3756 | No data between 22:20-00:00 due to     |     |       |         |     |
|      | transfer glitch                        |     |       |         |     |
| 3757 | No data between 00:00-11:00            |     |       |         |     |
| 3778 |                                        |     |       |         | X   |
| 3779 |                                        |     |       |         | X   |
| 3788 | No data starting 17:32:22              |     |       |         |     |
| 3789 | No data                                |     |       |         |     |
| 3790 | No data                                |     |       |         |     |
| 3791 | No data                                |     |       |         |     |
| 3792 | No data                                |     |       |         |     |
| 3793 | No data up to 12:24                    |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 3799 |                                        | X   |       |         |     |
| 3801 |                                        | X   |       |         |     |
| 3802 |                                        | X   |       |         |     |
| 3805 |                                        | X   |       |         |     |
| 3809 |                                        | X   |       |         |     |
| 3811 |                                        | X   |       |         |     |
| 3812 |                                        | X   |       |         |     |
| 3813 |                                        | X   |       |         |     |
| 3815 |                                        | X   |       |         |     |
| 3818 |                                        | X   |       |         |     |
| 3882 | No data 10:00-10:20                    |     |       |         |     |
| 3884 | Missing data between 07:00-23:59       |     |       |         |     |
| 3885 | Missing data between 00:00-13:00       |     |       |         |     |
| 3890 | Missing data between 10:00-13:00       |     |       |         |     |
| 3902 |                                        |     |       |         | X   |
| 3903 |                                        |     |       |         | X   |
| 3910 |                                        |     | X     |         |     |
| 3919 |                                        | X   |       |         |     |
| 3920 |                                        | X   |       |         |     |
| 3921 |                                        | X   |       |         |     |
| 3922 |                                        | X   |       |         |     |
| 3923 |                                        | X   |       |         |     |
| 3925 |                                        | X   |       |         |     |
| 3926 |                                        | X   |       |         |     |
| 3927 |                                        | X   |       |         |     |
| 3929 |                                        | X   |       |         |     |
| 3932 | Missing data between 20:00-23:59       | X   |       |         |     |
| 3933 | Missing data between 00:00-23:59       |     |       |         |     |
| 3934 | Missing data between 00:00-16:00       |     |       |         |     |
| 3996 |                                        |     |       |         | X   |
| 3997 |                                        |     |       |         | X   |
| 4004 | Solar Conjunction                      |     |       |         |     |
| 4005 | Solar Conjunction                      |     |       |         |     |
| 4006 | Solar Conjunction                      |     |       |         |     |
| 4007 | Solar Conjunction                      |     |       |         |     |
| 4008 | Solar Conjunction                      |     |       |         |     |
| 4009 | Solar Conjunction                      |     |       |         |     |
| 4010 | Solar Conjunction                      |     |       |         |     |
| 4011 | Solar Conjunction                      |     |       |         |     |
| 4012 | Solar Conjunction                      |     |       |         |     |
| 4013 | Solar Conjunction                      |     |       |         |     |
| 4014 | Solar Conjunction                      |     |       |         |     |
| 4015 | Solar Conjunction                      |     |       |         |     |
| 4016 | Solar Conjunction                      |     |       |         |     |
| 4017 | Solar Conjunction                      |     |       |         |     |
| 4018 | Solar Conjunction                      |     |       |         |     |
| 4019 | Solar Conjunction                      |     |       |         |     |
| 4020 | Solar Conjunction                      |     |       |         |     |
| 4021 | Solar Conjunction                      |     |       |         |     |
| 4022 | Solar Conjunction                      |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 4025 | Missing data at 10:00                  |     |       |         |     |
| 4027 | Missing data between 04:00-10:05 due   |     |       |         |     |
|      | to memory full                         |     |       |         |     |
| 4034 |                                        | X   |       |         |     |
| 4035 |                                        | X   |       |         |     |
| 4036 |                                        | X   |       |         |     |
| 4039 |                                        | X   |       |         |     |
| 4040 |                                        | X   |       |         |     |
| 4041 |                                        | X   |       |         |     |
| 4042 |                                        | X   |       |         |     |
| 4043 |                                        | X   |       |         |     |
| 4045 |                                        | X   |       |         |     |
| 4091 | Missing some data between 04:00-06:05  |     |       |         |     |
| 4093 | Missing data between 00:00-11:05 due   |     | X     |         |     |
|      | to memory full                         |     |       |         |     |
| 4114 | Missing some data between 01:00-03:05  |     |       |         |     |
|      | and 16:00-16:05 due to data transfer   |     |       |         |     |
|      | glitch                                 |     |       |         |     |
| 4133 |                                        |     |       |         | X   |
| 4134 |                                        |     |       |         | X   |
| 4167 |                                        | X   |       |         |     |
| 4168 |                                        | X   |       |         |     |
| 4169 |                                        | X   |       |         |     |
| 4173 |                                        | X   |       |         |     |
| 4174 |                                        | X   |       |         |     |
| 4175 |                                        | X   |       |         |     |
| 4176 |                                        | X   |       |         |     |
| 4177 |                                        | X   |       |         |     |
| 4179 |                                        | X   |       |         |     |
| 4180 |                                        | X   |       |         |     |
| 4257 |                                        |     |       |         | X   |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 4258 |                                        |     |       |         | X   |
| 4275 |                                        |     | X     |         |     |
| 4299 |                                        | X   |       |         |     |
| 4300 |                                        | X   |       |         |     |
| 4301 |                                        | X   |       |         |     |
| 4302 |                                        | X   |       |         |     |
| 4303 |                                        | X   |       |         |     |
| 4305 |                                        | X   |       |         |     |
| 4306 |                                        | X   |       |         |     |
| 4307 |                                        | X   |       |         |     |
| 4308 |                                        | X   |       |         |     |
| 4309 |                                        | X   |       |         |     |
| 4354 |                                        |     |       |         | X   |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 4355 |                                        |     |       |         | X   |
| 4356 | Missing some data between 22:00-23:59  |     |       |         |     |
|      | due to data transfer glitch            |     |       |         |     |
| 4357 | Missing some data between 12:00-16:05  |     |       |         |     |
|      | due to data transfer glitch            |     |       |         |     |
| 4364 | Missing some data between 07:00-08:05  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4366 | Missing some data between 03:00-11:05  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4416 | Missing data between 10:00-00:00 due   |     |       |         |     |
|      | to memory full in runout execution     |     |       |         |     |
| 4417 | Missing some data between 00:00-05:05  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4419 | Missing some data between 04:00-23:59  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4420 | Missing some data between 00:00-23:59  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4421 | Missing some data between 00:00-23:59  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4422 | Missing some data between 00:00-23:59  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4423 | Missing some data between 00:00-23:59  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4424 | Missing some data between 00:00-23:59  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4425 | Missing some data between 00:00-11:05  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4437 |                                        | X   |       |         |     |
| 4438 |                                        | X   |       |         |     |
| 4439 |                                        | X   |       |         |     |
| 4440 |                                        | X   |       |         |     |
| 4441 |                                        | X   |       |         |     |
| 4443 |                                        | X   |       |         |     |
| 4444 |                                        | X   |       |         |     |
| 4445 |                                        | X   |       |         |     |
| 4446 |                                        | X   |       |         |     |
| 4447 |                                        | X   |       |         |     |
| 4455 |                                        |     | X     |         |     |
| 4488 |                                        |     |       |         | X   |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 4489 |                                        |     |       |         | X   |
| 4520 | Missing some data between 10:00-12:05  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4522 | Missing some data between 06:00-13:05  |     |       |         |     |
|      | due to memory full in runout execution |     |       |         |     |
| 4570 |                                        | X   |       |         |     |
| 4571 |                                        | X   |       |         |     |
| 4572 |                                        | X   |       |         |     |
| 4573 |                                        | X   |       |         |     |
| 4576 |                                        | X   |       |         |     |
| 4577 |                                        | X   |       |         |     |
| 4579 |                                        | X   |       |         |     |
| 4581 |                                        | X   |       |         |     |
| 4582 |                                        | X   |       |         |     |
| 4583 |                                        | X   |       |         |     |
| 4602 | Missing some data between 16:00-20:05  |     |       |         |     |
|      | due to data transfer glitch            |     |       |         |     |
| 4603 | Missing some data between 04:00-06:05  |     |       |         |     |
|      | due to data transfer glitch            |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 4614 |                                        |     |       |         | X   |
| 4615 |                                        |     |       |         | X   |
| 4637 |                                        |     | X     |         |     |
| 4645 | Missing some data between 15:00-15:05  |     |       |         |     |
|      | due to data transfer glitch            |     |       |         |     |
| 4646 | Missing some data between 04:00-09:05  |     |       |         |     |
|      | due to data transfer glitch            |     |       |         |     |
| 4690 |                                        | X   |       |         |     |
| 4691 |                                        | X   |       |         |     |
| 4692 |                                        | X   |       |         |     |
| 4693 |                                        | X   |       |         |     |
| 4695 |                                        | X   |       |         |     |
| 4696 | Missing some data between 16:00-23:59  |     |       |         |     |
| 4697 | Missing some data between 00:00-03:05  | X   |       |         |     |
| 4701 |                                        | X   |       |         |     |
| 4702 |                                        | X   |       |         |     |
| 4703 |                                        | X   |       |         |     |
| 4704 |                                        | X   |       |         |     |
| 4705 |                                        | X   |       |         |     |
| 4709 |                                        |     |       |         | X   |
|------+----------------------------------------+-----+-------+---------+-----|
